ID,Dim1,Dim2,Dim3,Referendum,Option_Ind,Option_SouAss,Option_Prov,Argument_Droit,Argument_Resssources,Argument_Faisable,Honte_Racisme,Honte_Colonialisme,Futur_Francais,Futur_Economie,Futur_culture,Opinion_Immigration,Opinion_sociale,Opinion_economique,Opinion_feministe,Opinion_lgbtq,Attitude_risque,Vote_provincial,Vote_federal,Genre,Langue,Age,Origine,Scolarite,Revenus
Ind_1877,-1.918029,-0.996855,-0.662635,Sou_OUI,POUR,POUR,CONTRE,POUR,POUR,NSP,ACCORD,ACCORD,OPTIMISTE,NSP,OPTIMISTE,NSP,Responsabilité collective,Economie: privé et public,Feministre: NEUTRE féministe,Féministe: POUR féministe,Risque difficile,QS,NPD,Homme,Francophones,18-39 ans,Né Canada,Universitaire,Revenus bas
Ind_1878,-2.006556,1.676124,0.400881,Sou_OUI,POUR,CONTRE,CONTRE,POUR,POUR,POUR,DÉSACCORD,DÉSACCORD,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité mixte,Economie: privé seulement,Feministre: NEUTRE féministe,Feministre: NEUTRE féministe,Risque difficile,PCQ,PCC,Homme,Francophones,60 ans et plus,Né Canada,Secondaire,Revenus bas
Ind_1879,-2.13936,-1.305044,-1.344156,Sou_OUI,POUR,POUR,CONTRE,CONTRE,POUR,POUR,ACCORD,NEUTRE,OPTIMISTE,NEUTRE,OPTIMISTE,POUR,Responsabilité collective,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque facile,PQ,BQ,Femme,Francophones,40-59 ans,Né Canada,Universitaire,Revenus bas
Ind_1880,1.54927,-0.366166,-0.237757,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,NEUTRE,NEUTRE,PESSIMISTE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque difficile,CAQ,BQ,Femme,Francophones,60 ans et plus,Né Canada,Secondaire,Revenus bas
Ind_1881,0.411907,0.007476,1.365075,Sou_NSP,CONTRE,POUR,POUR,NEUTRE,CONTRE,NEUTRE,NSP,NSP,OPTIMISTE,PESSIMISTE,NSP,CONTRE,Responsabilité individuelle,Economie: privé et public,Feministe: CONTRE féministe,Feministe: CONTRE féministe,Risque facile,NSP,NSP,Femme,Francophones,40-59 ans,Né Canada,Secondaire,Revenus bas
Ind_1882,-0.656834,-1.985389,-1.112338,Sou_NON,POUR,POUR,POUR,POUR,POUR,POUR,ACCORD,ACCORD,NEUTRE,PESSIMISTE,OPTIMISTE,POUR,Responsabilité collective,Economie: privé et public,Féministe: POUR féministe,Féministe: POUR féministe,Risque difficile,QS,NPD,Femme,Francophones,18-39 ans,Né Canada,Universitaire,NSP
Ind_1883,-0.199862,0.051787,1.550638,Sou_OUI,CONTRE,NSP,NSP,NSP,NEUTRE,NEUTRE,NEUTRE,DÉSACCORD,OPTIMISTE,OPTIMISTE,NSP,CONTRE,Responsabilité collective,Economie: neutre,Feministe: CONTRE féministe,Feministe: CONTRE féministe,NSP,PCQ,PCC,Femme,Non francophones,40-59 ans,Né Canada,Collégial,Revenus bas
Ind_1884,2.116798,1.547099,-1.068703,Sou_NON,CONTRE,CONTRE,POUR,CONTRE,CONTRE,CONTRE,ACCORD,DÉSACCORD,NEUTRE,PESSIMISTE,PESSIMISTE,CONTRE,Responsabilité individuelle,Economie: privé et public,Feministe: CONTRE féministe,Feministre: NEUTRE féministe,Risque facile,PLQ,PLC,Homme,Non francophones,60 ans et plus,Né Canada,Collégial,Revenus moyens
Ind_1885,-2.524067,-0.069791,0.342337,Sou_OUI,POUR,POUR,CONTRE,POUR,POUR,POUR,ACCORD,ACCORD,OPTIMISTE,OPTIMISTE,OPTIMISTE,CONTRE,Responsabilité mixte,Economie: neutre,Feministre: NEUTRE féministe,Feministe: CONTRE féministe,NSP,PQ,BQ,Femme,Francophones,60 ans et plus,Né Canada,Secondaire,NSP
Ind_1886,0.710132,-0.761261,1.281384,Sou_NON,CONTRE,POUR,POUR,NEUTRE,NSP,NSP,NSP,DÉSACCORD,PESSIMISTE,PESSIMISTE,NSP,CONTRE,Responsabilité mixte,Economie: privé et public,Féministe: POUR féministe,NSP,Risque difficile,NSP,PLC,Femme,Francophones,60 ans et plus,Né Canada,Collégial,Revenus bas
